"Global eco","","http://uk1-pn.webcast-server.net:8000/Green-Futures-Festival-Radio"
"House","#MUSIK.BIGCITYBEATS - BY BIGCITYBEATS.DE & RAUTEMUSIK.FM - 24H MIXED ELECTRONIC AND HOUSE MUSIC!","http://193.34.51.60:80"
"Drum and Bass","#MUSIK.DRUMSTEP - WWW.RAUTEMUSIK.FM - 24H NON STOP DRUM AND BASS DUBSTEP AND MORE DNB!","http://95.141.24.54:80"
"Oldies","#MUSIK.GOLDIES - WWW.RAUTEMUSIK.FM - 24H OLDIES CLASSIC ROCK 60S 70S 80S POP AND MORE!","http://193.34.51.76:80"
"Oldies","#MUSIK.GOLDIES - WWW.RAUTEMUSIK.FM - 24H OLDIES CLASSIC ROCK 60S 70S 80S POP AND MORE!","http://95.141.24.11:80"
"House","#MUSIK.HOUSE (FUNKY) - WWW.RAUTEMUSIK.FM - 24H MIXED HOUSE DANCE ELECTRO FUNK MINIMAL AND MORE!","http://193.34.51.16:80"
"Smooth Jazz","#MUSIK.LOUNGE - WWW.RAUTEMUSIK.FM - 24H CHILLOUT AMBIENT SMOOTH JAZZ DOWNTEMPO LATIN SOUL AND MORE!","http://193.34.51.56:80"
"Alternative Folk","#MUSIK.METAL - WWW.RAUTEMUSIK.FM - 24H METAL ROCK ALTERNATIVE AND MORE","http://95.141.24.82:80"
"Progressive Metal","#MUSIK.TECHHOUSE (PROGRESSIVE) - WWW.RAUTEMUSIK.FM - 24H MIXED PROGRESSIVE ELECTRO MINIMAL AND MORE!","http://95.141.24.28:80"
"Techno","#MUSIK.TRANCE - WWW.RAUTEMUSIK.FM - 24H MIXED VOCAL TRANCE PROGRESSIVE UPLIFTING HARD TECHNO AND MOR","http://95.141.24.17:80"
"Trance techno dance 90s","((-INTENSE RADIO-)) - We love Dance!","http://stream.intenseradio.net:8000/high"
"Pure rock","(mp3/128s) Pure Rock FM 89/WONC","http://orpheus.noctrl.edu:8000/wonclive-128s"
"Pure rock","(mp3/32m) Pure Rock FM 89/WONC","http://orpheus.noctrl.edu:8000/wonclive-32m"
"Pure rock","(mp3/56m) Pure Rock FM 89/WONC","http://orpheus.noctrl.edu:8000/wonclive-56m"
"Pure rock","(mp3/96s) Pure Rock FM 89/WONC","http://orpheus.noctrl.edu:8000/wonclive-96s"
"Bollywood","))) Indo-Caribbean Radio (HD) - WICR- AM 1620 NEW YORK TO GUYANA, THE CARIBBEAN & BEYOND! LIVE 24x7","http://208.43.9.96:8652"
"Traditional Folk","* Milos Radio - aacPlus * aacPlus 48 kb/s","http://81.18.84.163:8805"
